agent_id,leave_type,entitlement_days,used_days,remaining_days,year
61581635771227,ANNUAL,20,7,13,2026
61581635771227,SICK,5,0,5,2026
61581635771227,PERSONAL,2,0,2,2026
61581666459416,ANNUAL,20,7,13,2026
61581666459416,SICK,5,0,5,2026
61581666459416,PERSONAL,2,0,2,2026
61581674139184,ANNUAL,20,3,17,2026
61581674139184,SICK,5,0,5,2026
61581674139184,PERSONAL,2,1,1,2026
61582253126069,ANNUAL,20,2,18,2026
61582253126069,SICK,5,2,3,2026
61582253126069,PERSONAL,2,1,1,2026
61583018368573,ANNUAL,20,6,14,2026
61583018368573,SICK,5,0,5,2026
61583018368573,PERSONAL,2,1,1,2026
61585038341143,ANNUAL,20,5,15,2026
61585038341143,SICK,5,0,5,2026
61585038341143,PERSONAL,2,0,2,2026
61587856425159,ANNUAL,20,2,18,2026
61587856425159,SICK,5,0,5,2026
61587856425159,PERSONAL,2,0,2,2026
61588190284154,ANNUAL,20,6,14,2026
61588190284154,SICK,5,1,4,2026
61588190284154,PERSONAL,2,0,2,2026
61588377774860,ANNUAL,20,6,14,2026
61588377774860,SICK,5,0,5,2026
61588377774860,PERSONAL,2,1,1,2026
61588388064451,ANNUAL,20,7,13,2026
61588388064451,SICK,5,2,3,2026
61588388064451,PERSONAL,2,1,1,2026
61588389996727,ANNUAL,20,5,15,2026
61588389996727,SICK,5,0,5,2026
61588389996727,PERSONAL,2,0,2,2026
100071773725249,ANNUAL,20,6,14,2026
100071773725249,SICK,5,0,5,2026
100071773725249,PERSONAL,2,0,2,2026
61580771977862,ANNUAL,20,20,0,2026
61580771977862,SICK,5,2,3,2026
61580771977862,PERSONAL,2,0,2,2026
61580818484348,ANNUAL,20,4,16,2026
61580818484348,SICK,5,0,5,2026
61580818484348,PERSONAL,2,0,2,2026
61581055615480,ANNUAL,20,3,17,2026
61581055615480,SICK,5,0,5,2026
61581055615480,PERSONAL,2,0,2,2026
61581509267603,ANNUAL,20,2,18,2026
61581509267603,SICK,5,1,4,2026
61581509267603,PERSONAL,2,0,2,2026
61581904917164,ANNUAL,20,4,16,2026
61581904917164,SICK,5,0,5,2026
61581904917164,PERSONAL,2,1,1,2026
61581980363535,ANNUAL,20,4,16,2026
61581980363535,SICK,5,0,5,2026
61581980363535,PERSONAL,2,1,1,2026
61588063300667,ANNUAL,20,5,15,2026
61588063300667,SICK,5,1,4,2026
61588063300667,PERSONAL,2,0,2,2026
61588449381350,ANNUAL,20,5,15,2026
61588449381350,SICK,5,0,5,2026
61588449381350,PERSONAL,2,1,1,2026
