request_id,agent_id,leave_type,start_date,end_date,days_requested,status,submitted_at,decided_at,decided_by,deny_reason
00000000-0000-0000-0000-000000000001,61581666459416,ANNUAL,4/15/2026,4/15/2026,1,PENDING,4/12/2026 9:14:00 AM,,,
00000000-0000-0000-0000-000000000002,61582253126069,ANNUAL,4/16/2026,4/17/2026,2,PENDING,4/13/2026 8:45:00 AM,,,
00000000-0000-0000-0000-000000000003,61580771977862,ANNUAL,4/20/2026,4/20/2026,1,PENDING,4/14/2026 10:02:00 AM,,,
00000000-0000-0000-0000-000000000004,61581674139184,ANNUAL,4/22/2026,4/22/2026,1,PENDING,4/14/2026 11:30:00 AM,,,
00000000-0000-0000-0000-000000000005,61583018368573,ANNUAL,4/28/2026,4/29/2026,2,PENDING,4/12/2026 2:10:00 PM,,,
00000000-0000-0000-0000-000000000006,61581635771227,ANNUAL,4/22/2026,4/22/2026,1,APPROVED,4/7/2026 9:00:00 AM,4/8/2026 10:15:00 AM,ops_supervisor_01,
00000000-0000-0000-0000-000000000007,61581509267603,SICK,4/13/2026,4/13/2026,1,APPROVED,4/13/2026 7:58:00 AM,4/13/2026 8:05:00 AM,ops_supervisor_01,
00000000-0000-0000-0000-000000000008,61585038341143,ANNUAL,4/28/2026,4/28/2026,1,DENIED,4/10/2026 3:00:00 PM,4/11/2026 9:00:00 AM,ops_supervisor_01,BLACKOUT_DATE: peak season Apr 25 - May 5
00000000-0000-0000-0000-000000000009,61587856425159,PERSONAL,4/18/2026,4/18/2026,1,PENDING,4/14/2026 4:45:00 PM,,,
00000000-0000-0000-0000-00000000000a,61588063300667,ANNUAL,4/17/2026,4/17/2026,1,PENDING,4/13/2026 1:30:00 PM,,,
00000000-0000-0000-0000-00000000000b,61581904917164,SICK,4/14/2026,4/14/2026,1,PENDING,4/14/2026 7:52:00 AM,,,
