agent_id,team,consented,max_extra_hours_pw,consent_valid_from,consent_valid_to,notes
61581635771227,Account Access - Genpop HTS - General Entrypoints - TP - Dublin,True,4,1/1/2026,12/31/2026,Standing overtime consent — up to 4 extra hrs/week
61581666459416,Account Access - Genpop HTS - General Entrypoints - TP - Dublin,False,0,,,
61581674139184,Account Access - Genpop HTS - General Entrypoints - TP - Dublin,False,0,,,
61582253126069,Account Access - Genpop HTS - General Entrypoints - TP - Dublin,True,4,1/1/2026,12/31/2026,Standing overtime consent — up to 4 extra hrs/week
61583018368573,Account Access - Genpop HTS - General Entrypoints - TP - Dublin,False,0,,,
61585038341143,Account Access - Genpop HTS - General Entrypoints - TP - Dublin,False,0,,,
61587856425159,Account Access - Genpop HTS - General Entrypoints - TP - Dublin,True,4,1/1/2026,12/31/2026,Standing overtime consent — up to 4 extra hrs/week
61588190284154,Account Access - Genpop HTS - General Entrypoints - TP - Dublin,False,0,,,
61588377774860,Account Access - Genpop HTS - General Entrypoints - TP - Dublin,False,0,,,
61588388064451,Account Access - Genpop HTS - General Entrypoints - TP - Dublin,True,4,1/1/2026,12/31/2026,Standing overtime consent — up to 4 extra hrs/week
61588389996727,Account Access - Genpop HTS - General Entrypoints - TP - Dublin,False,0,,,
100071773725249,Account Access - Genpop HTS - Incorrect Disables - TP - Dublin,False,0,,,
61580771977862,Account Access - Genpop HTS - Incorrect Disables - TP - Dublin,True,4,1/1/2026,12/31/2026,Standing overtime consent — up to 4 extra hrs/week
61580818484348,Account Access - Genpop HTS - Incorrect Disables - TP - Dublin,False,0,,,
61581055615480,Account Access - Genpop HTS - Incorrect Disables - TP - Dublin,False,0,,,
61581509267603,Account Access - Genpop HTS - Incorrect Disables - TP - Dublin,True,4,1/1/2026,12/31/2026,Standing overtime consent — up to 4 extra hrs/week
61581904917164,Account Access - Genpop HTS - Incorrect Disables - TP - Dublin,False,0,,,
61581980363535,Account Access - Genpop HTS - Incorrect Disables - TP - Dublin,False,0,,,
61588063300667,Account Access - Genpop HTS - Incorrect Disables - TP - Dublin,True,4,1/1/2026,12/31/2026,Standing overtime consent — up to 4 extra hrs/week
61588449381350,Account Access - Genpop HTS - Incorrect Disables - TP - Dublin,False,0,,,
