agent_id,team,site,schedule_date,shift_type,scheduled_start,scheduled_end,scheduled_break_start,scheduled_break_end,scheduled_hours,queue_assignment,roster_status
61581635771227,Account Access - Genpop HTS - General Entrypoints - TP - Dublin,Teleperformance-Dublin,4/12/2026,WEEKEND,4/12/2026 10:00,4/12/2026 16:00,4/12/2026 12:30,4/12/2026 13:00,6.0,QUEUE_EMAIL,SCHEDULED
61581635771227,Account Access - Genpop HTS - General Entrypoints - TP - Dublin,Teleperformance-Dublin,4/13/2026,MORNING,4/13/2026 08:00,4/13/2026 16:30,4/13/2026 12:00,4/13/2026 12:30,8.5,QUEUE_EMAIL,SCHEDULED
61581635771227,Account Access - Genpop HTS - General Entrypoints - TP - Dublin,Teleperformance-Dublin,4/14/2026,MORNING,4/14/2026 08:00,4/14/2026 16:30,4/14/2026 12:00,4/14/2026 12:30,8.5,QUEUE_EMAIL,SCHEDULED
61581666459416,Account Access - Genpop HTS - General Entrypoints - TP - Dublin,Teleperformance-Dublin,4/12/2026,WEEKEND,4/12/2026 10:00,4/12/2026 16:00,4/12/2026 12:30,4/12/2026 13:00,6.0,QUEUE_EMAIL,SCHEDULED
61581666459416,Account Access - Genpop HTS - General Entrypoints - TP - Dublin,Teleperformance-Dublin,4/13/2026,DAY,4/13/2026 09:00,4/13/2026 17:30,4/13/2026 13:00,4/13/2026 13:30,8.5,QUEUE_EMAIL_BACKLOG,SCHEDULED
61581666459416,Account Access - Genpop HTS - General Entrypoints - TP - Dublin,Teleperformance-Dublin,4/14/2026,DAY,4/14/2026 09:00,4/14/2026 17:30,4/14/2026 13:00,4/14/2026 13:30,8.5,QUEUE_EMAIL_BACKLOG,SCHEDULED
61581674139184,Account Access - Genpop HTS - General Entrypoints - TP - Dublin,Teleperformance-Dublin,4/12/2026,WEEKEND,4/12/2026 10:00,4/12/2026 16:00,4/12/2026 12:30,4/12/2026 13:00,6.0,QUEUE_EMAIL,SCHEDULED
61581674139184,Account Access - Genpop HTS - General Entrypoints - TP - Dublin,Teleperformance-Dublin,4/13/2026,MORNING,4/13/2026 08:00,4/13/2026 16:30,4/13/2026 12:00,4/13/2026 12:30,8.5,QUEUE_CHAT,SCHEDULED
61581674139184,Account Access - Genpop HTS - General Entrypoints - TP - Dublin,Teleperformance-Dublin,4/14/2026,MORNING,4/14/2026 08:00,4/14/2026 16:30,4/14/2026 12:00,4/14/2026 12:30,8.5,QUEUE_CHAT,SCHEDULED
61582253126069,Account Access - Genpop HTS - General Entrypoints - TP - Dublin,Teleperformance-Dublin,4/12/2026,WEEKEND,4/12/2026 10:00,4/12/2026 16:00,4/12/2026 12:30,4/12/2026 13:00,6.0,QUEUE_EMAIL,SCHEDULED
