team,date,team_size,max_concurrent_absent,max_absence_pct
Account Access - Genpop HTS - General Entrypoints - TP - Dublin,4/12/2026,11,1,9.1
Account Access - Genpop HTS - Incorrect Disables - TP - Dublin,4/12/2026,9,1,11.1
Account Access - Genpop HTS - General Entrypoints - TP - Dublin,4/13/2026,11,1,9.1
Account Access - Genpop HTS - Incorrect Disables - TP - Dublin,4/13/2026,9,1,11.1
Account Access - Genpop HTS - General Entrypoints - TP - Dublin,4/14/2026,11,1,9.1
Account Access - Genpop HTS - Incorrect Disables - TP - Dublin,4/14/2026,9,1,11.1
Account Access - Genpop HTS - General Entrypoints - TP - Dublin,4/15/2026,11,1,9.1
Account Access - Genpop HTS - Incorrect Disables - TP - Dublin,4/15/2026,9,1,11.1
Account Access - Genpop HTS - General Entrypoints - TP - Dublin,4/16/2026,11,1,9.1
Account Access - Genpop HTS - Incorrect Disables - TP - Dublin,4/16/2026,9,1,11.1
Account Access - Genpop HTS - General Entrypoints - TP - Dublin,4/17/2026,11,1,9.1
Account Access - Genpop HTS - Incorrect Disables - TP - Dublin,4/17/2026,9,1,11.1
Account Access - Genpop HTS - General Entrypoints - TP - Dublin,4/18/2026,11,1,9.1
Account Access - Genpop HTS - Incorrect Disables - TP - Dublin,4/18/2026,9,1,11.1
Account Access - Genpop HTS - General Entrypoints - TP - Dublin,4/20/2026,11,1,9.1
Account Access - Genpop HTS - Incorrect Disables - TP - Dublin,4/20/2026,9,1,11.1
Account Access - Genpop HTS - General Entrypoints - TP - Dublin,4/21/2026,11,1,9.1
Account Access - Genpop HTS - Incorrect Disables - TP - Dublin,4/21/2026,9,1,11.1
Account Access - Genpop HTS - General Entrypoints - TP - Dublin,4/22/2026,11,1,9.1
Account Access - Genpop HTS - Incorrect Disables - TP - Dublin,4/22/2026,9,1,11.1
